101	33626
102	5824
102	39002
102	40066
103	38876
105	39002
105	40051
105	40073
106	53
106	102
106	268
106	269
106	961
106	1064
106	1068
106	1428
106	2215
106	2215
106	2221
106	2322
106	3654
106	3817
106	3834
106	4147
106	4148
106	4169
106	4684
106	4830
106	5637
106	5734
106	5736
106	5753
106	5763
106	5772
106	5806
106	5814
106	6544
106	6928
106	7195
106	7453
106	23978
106	30531
106	30533
106	30558
106	30559
106	30559
106	30561
106	30562
106	30563
106	30564
106	30566
106	30568
106	30569
106	30570
106	30572
106	30573
106	34176
106	38886
106	39610
106	39930
106	39939
106	39950
106	39951
106	40050
106	40051
106	40058
106	40059
106	40060
106	40071
106	40073
106	40073
106	40073
106	40073
106	40083
106	40089
107	6369
107	33646
107	40051
108	38876
108	40067
109	38912
109	38940
109	39002
110	38940
111	38912
112	5796
112	30573
113	24654
114	5822
115	38876
116	14
116	53
116	64
116	152
116	168
116	264
116	297
116	764
116	1178
116	1532
116	3695
116	3838
116	4159
116	4165
116	4770
116	4811
116	5214
116	5388
116	5765
116	5807
116	5817
116	6281
116	6922
116	6928
116	6959
116	6959
116	7737
116	9293
116	19895
116	28726
116	28752
116	28765
116	29009
116	29014
116	29014
116	30531
116	30531
116	30550
116	30561
116	30561
116	30561
116	30569
116	30571
116	30572
116	30572
116	30574
116	31607
116	31618
116	34147
116	36002
116	38357
116	38876
116	38940
116	38967
116	39452
116	39610
116	39792
116	39862
116	39929
116	39940
116	39942
116	39953
116	39957
116	40010
116	40014
116	40019
116	40029
116	40044
116	40048
116	40049
116	40050
116	40051
117	7101
117	38912
117	40048
118	38967
119	5765
119	40004
119	40093
120	5791
120	6476
120	40088
121	5754
121	40085
122	5804
122	6763
122	38912
123	35188
123	40094
124	5769
124	38877
125	38940
125	38956
125	40058
125	40077
125	40092
125	40097
126	53
126	265
126	266
126	268
126	305
126	870
126	1236
126	1439
126	1532
126	3430
126	3625
126	3653
126	3886
126	4206
126	4216
126	4277
126	4301
126	4743
126	4934
126	5165
126	5728
126	5783
126	5799
126	6128
126	6387
126	6557
126	6959
126	6959
126	7701
126	7983
126	28647
126	28957
126	28999
126	30561
126	30563
126	30564
126	30564
126	30566
126	30566
126	30566
126	30568
126	30570
126	30572
126	30572
126	30574
126	30574
126	35126
126	38357
126	38881
126	38912
126	38923
126	38940
126	38940
126	39002
126	39658
126	39792
126	39927
126	39936
126	39938
126	39947
126	39948
126	39952
126	39953
126	39953
126	39959
126	39960
126	40015
126	40044
126	40046
126	40051
126	40091
129	38967
129	40090
129	40095
131	38912
132	5791
132	38911
132	38940
132	38940
133	38967
134	38886
135	35188
135	38984
136	44
136	44
136	53
136	53
136	53
136	152
136	264
136	660
136	961
136	2651
136	2731
136	4146
136	4148
136	4459
136	4736
136	4937
136	4939
136	5151
136	5170
136	5619
136	5743
136	5753
136	5807
136	5826
136	5994
136	6040
136	6936
136	6959
136	6959
136	7406
136	7738
136	8322
136	9796
136	26382
136	29026
136	30531
136	30533
136	30550
136	30559
136	30560
136	30562
136	30563
136	30564
136	30565
136	30565
136	30565
136	30565
136	30567
136	30572
136	30572
136	30573
136	30574
136	34176
136	34176
136	34845
136	38876
136	38940
136	38940
136	38967
136	39002
136	39466
136	39742
136	39929
136	39939
136	39943
136	39946
136	39947
136	39949
136	39951
136	39956
136	39960
136	40004
136	40010
136	40095
136	40096
136	40098
136	40101
136	40101
137	5758
137	5769
137	38912
138	38881
139	5771
140	195
140	33670
141	26932
142	40051
142	40058
142	40095
143	2525
143	38895
143	38940
145	38940
145	39942
146	57
146	57
146	132
146	268
146	961
146	1461
146	2642
146	3430
146	3626
146	3652
146	3959
146	4050
146	4147
146	4290
146	4830
146	4931
146	5637
146	5758
146	5769
146	5804
146	5994
146	6928
146	11221
146	15953
146	18868
146	28999
146	28999
146	29006
146	29019
146	30560
146	30563
146	30564
146	30567
146	30567
146	30570
146	30571
146	30572
146	30572
146	30573
146	30574
146	33042
146	33678
146	33876
146	34145
146	34176
146	37006
146	38876
146	38880
146	38912
146	38940
146	38992
146	39935
146	39939
146	39944
146	39950
146	39951
146	39961
146	39963
146	40029
146	40029
146	40046
146	40077
147	40063
147	40080
148	5736
148	38912
148	38912
149	5754
149	39002
150	5742
150	38940
150	38940
151	34688
151	38940
